hour,action,storage_start_mwh,storage_end_mwh,da_energy_revenue,tmnsr_revenue,hourly_total_revenue,cumulative_revenue
0,pump,0,750,-50300.0,0.0,-50300.0,-50300.0
1,pump,750,1500,-48190.0,0.0,-48190.0,-98490.0
2,pump,1500,2250,-44940.0,0.0,-44940.0,-143430.0
3,pump,2250,3000,-42660.0,0.0,-42660.0,-186090.0
4,pump,3000,3750,-41230.0,0.0,-41230.0,-227320.0
5,pump,3750,4500,-43040.0,0.0,-43040.0,-270360.0
6,pump,4500,5250,-50310.0,0.0,-50310.0,-320670.0
7,pump,5250,6000,-55000.0,0.0,-55000.0,-375670.0
8,tmnsr,6000,6000,0.0,24710.0,24710.0,-350960.0
9,tmnsr,6000,6000,0.0,25790.0,25790.0,-325170.0
10,tmnsr,6000,6000,0.0,2980.0000000000005,2980.0000000000005,-322190.0
11,tmnsr,6000,6000,0.0,18480.00000000001,18480.00000000001,-303710.0
12,tmnsr,6000,6000,0.0,31730.000000000004,31730.000000000004,-271980.0
13,tmnsr,6000,6000,0.0,88609.99999999999,88609.99999999999,-183370.0
14,tmnsr,6000,6000,0.0,102009.99999999997,102009.99999999997,-81360.00000000003
15,tmnsr,6000,6000,0.0,144840.0,144840.0,63479.99999999997
16,generate,6000,5000,343180.0,0.0,343180.0,406660.0
17,generate,5000,4000,418310.0,0.0,418310.0,824970.0
18,generate,4000,3000,474900.0,0.0,474900.0,1299870.0
19,generate,3000,2000,407240.0,0.0,407240.0,1707110.0
20,generate,2000,1000,315880.0,0.0,315880.0,2022990.0
21,generate,1000,0,187580.0,0.0,187580.0,2210570.0
22,tmnsr,0,0,0.0,73120.0,73120.0,2283690.0
23,tmnsr,0,0,0.0,34520.0,34520.0,2318210.0
